ZIPcode,TaxRateArea_CITY,AIN,RollYear,TaxRateArea,AssessorID,PropertyLocation,PropertyType,PropertyUseCode,GeneralUseType,SpecificUseType,SpecificUseDetail1,SpecificUseDetail2,totBuildingDataLines,YearBuilt,EffectiveYearBuilt,SQFTmain,Bedrooms,Bathrooms,Units,RecordingDate,LandValue,LandBaseYear,ImprovementValue,ImpBaseYear,TotalLandImpValue,HomeownersExemption,RealEstateExemption,FixtureValue,FixtureExemption,PersonalPropertyValue,PersonalPropertyExemption,isTaxableParcel?,TotalValue,TotalExemption,netTaxableValue,SpecialParcelClassification,AdministrativeRegion,Cluster,ParcelBoundaryDescription,HouseNo,HouseFraction,StreetDirection,StreetName,UnitNo,City,ZIPcode5,rowID,CENTER_LAT,CENTER_LON,Location 1
90713-1413,LAKEWOOD,7171026016.0,2006.0,2274.0,7171-026-016,5309 BELLFLOWER BLVD  LAKEWOOD CA  90713,SFR,0100,Residential,Single Family Residence, , ,1.0,1950.0,1950.0,1105.0,3.0,1.0,1.0,19840613.0,89439.0,1984.0,74278.0,1984,163717.0,7000.0,0.0,0.0,0.0,0.0,0.0,Y,163717.0,7000.0,156717.0, ,10,10102.0,TRACT NO 14594 LOT   16,5309.0, , ,BELLFLOWER BLVD, ,LAKEWOOD CA,90713.0,20067171026016.0,33.85395253,-118.12556242,"(33.85395253, -118.12556242)"
90713-1413,LAKEWOOD,7171026016.0,2012.0,2274.0,7171-026-016,5309 BELLFLOWER BLVD  LAKEWOOD CA  90713,SFR,0100,Residential,Single Family Residence, , ,1.0,1950.0,1950.0,1105.0,3.0,1.0,1.0,19840613.0,97306.0,1984.0,80812.0,1984,178118.0,7000.0,0.0,0.0,0.0,0.0,0.0,Y,178118.0,7000.0,171118.0, ,10,10102.0,TRACT NO 14594 LOT   16,5309.0, , ,BELLFLOWER BLVD, ,LAKEWOOD CA,90713.0,20127171026016.0,33.85395253,-118.12556242,"(33.85395253, -118.12556242)"
90713-1413,LAKEWOOD,7171026016.0,2013.0,2274.0,7171-026-016,5309 BELLFLOWER BLVD  LAKEWOOD CA  90713,SFR,0100,Residential,Single Family Residence, , ,1.0,1950.0,1950.0,1105.0,3.0,1.0,1.0,20121003.0,99252.0,1984.0,82428.0,1984,181680.0,7000.0,0.0,0.0,0.0,0.0,0.0,Y,181680.0,7000.0,174680.0, ,10,10102.0,TRACT NO 14594 LOT   16,5309.0, , ,BELLFLOWER BLVD, ,LAKEWOOD CA,90713.0,20137171026016.0,33.85395253,-118.12556242,"(33.85395253, -118.12556242)"
90713-1413,LAKEWOOD,7171026016.0,2009.0,2274.0,7171-026-016,5309 BELLFLOWER BLVD  LAKEWOOD CA  90713,SFR,0100,Residential,Single Family Residence, , ,1.0,1950.0,1950.0,1105.0,3.0,1.0,1.0,19840613.0,94912.0,1984.0,78823.0,1984,173735.0,7000.0,0.0,0.0,0.0,0.0,0.0,Y,173735.0,7000.0,166735.0, ,10,10102.0,TRACT NO 14594 LOT   16,5309.0, , ,BELLFLOWER BLVD, ,LAKEWOOD CA,90713.0,20097171026016.0,33.85395253,-118.12556242,"(33.85395253, -118.12556242)"
90713-1413,LAKEWOOD,7171026016.0,2014.0,2274.0,7171-026-016,5309 BELLFLOWER BLVD  LAKEWOOD CA  90713,SFR,0100,Residential,Single Family Residence, , ,1.0,1950.0,1950.0,1105.0,3.0,1.0,1.0,20121003.0,99702.0,1984.0,82802.0,1984,182504.0,7000.0,0.0,0.0,0.0,0.0,0.0,Y,182504.0,7000.0,175504.0, ,10,10102.0,TRACT NO 14594 LOT   16,5309.0, , ,BELLFLOWER BLVD, ,LAKEWOOD CA,90713.0,20147171026016.0,33.85395253,-118.12556242,"(33.85395253, -118.12556242)"
90713-1413,LAKEWOOD,7171026016.0,2010.0,2274.0,7171-026-016,5309 BELLFLOWER BLVD  LAKEWOOD CA  90713,SFR,0100,Residential,Single Family Residence, , ,1.0,1950.0,1950.0,1105.0,3.0,1.0,1.0,19840613.0,94687.0,1984.0,78636.0,1984,173323.0,7000.0,0.0,0.0,0.0,0.0,0.0,Y,173323.0,7000.0,166323.0, ,10,10106.0,TRACT NO 14594 LOT   16,5309.0, , ,BELLFLOWER BLVD, ,LAKEWOOD CA,90713.0,20107171026016.0,33.85395253,-118.12556242,"(33.85395253, -118.12556242)"
90713-1413,LAKEWOOD,7171026016.0,2008.0,2274.0,7171-026-016,5309 BELLFLOWER BLVD  LAKEWOOD CA  90713,SFR,0100,Residential,Single Family Residence, , ,1.0,1950.0,1950.0,1105.0,3.0,1.0,1.0,19840613.0,93051.0,1984.0,77278.0,1984,170329.0,7000.0,0.0,0.0,0.0,0.0,0.0,Y,170329.0,7000.0,163329.0, ,10,10102.0,TRACT NO 14594 LOT   16,5309.0, , ,BELLFLOWER BLVD, ,LAKEWOOD CA,90713.0,20087171026016.0,33.85395253,-118.12556242,"(33.85395253, -118.12556242)"
90713-1413,LAKEWOOD,7171026016.0,2015.0,2274.0,7171-026-016,5309 BELLFLOWER BLVD  LAKEWOOD CA  90713,SFR,0100,Residential,Single Family Residence, , ,1.0,1950.0,1950.0,1105.0,3.0,1.0,1.0,20121003.0,101694.0,1984.0,84456.0,1984,186150.0,7000.0,0.0,0.0,0.0,0.0,0.0,Y,186150.0,7000.0,179150.0, ,10,10102.0,TRACT NO 14594 LOT   16,5309.0, , ,BELLFLOWER BLVD, ,LAKEWOOD CA,90713.0,20157171026016.0,33.85395253,-118.12556242,"(33.85395253, -118.12556242)"
90713-1413,LAKEWOOD,7171026016.0,2011.0,2274.0,7171-026-016,5309 BELLFLOWER BLVD  LAKEWOOD CA  90713,SFR,0100,Residential,Single Family Residence, , ,1.0,1950.0,1950.0,1105.0,3.0,1.0,1.0,19840613.0,95399.0,1984.0,79228.0,1984,174627.0,7000.0,0.0,0.0,0.0,0.0,0.0,Y,174627.0,7000.0,167627.0, ,10,10106.0,TRACT NO 14594 LOT   16,5309.0, , ,BELLFLOWER BLVD, ,LAKEWOOD CA,90713.0,20117171026016.0,33.85395253,-118.12556242,"(33.85395253, -118.12556242)"
90713-1413,LAKEWOOD,7171026016.0,2007.0,2274.0,7171-026-016,5309 BELLFLOWER BLVD  LAKEWOOD CA  90713,SFR,0100,Residential,Single Family Residence, , ,1.0,1950.0,1950.0,1105.0,3.0,1.0,1.0,19840613.0,91227.0,1984.0,75763.0,1984,166990.0,7000.0,0.0,0.0,0.0,0.0,0.0,Y,166990.0,7000.0,159990.0, ,10,10102.0,TRACT NO 14594 LOT   16,5309.0, , ,BELLFLOWER BLVD, ,LAKEWOOD CA,90713.0,20077171026016.0,33.85395253,-118.12556242,"(33.85395253, -118.12556242)"
90712-2707,LAKEWOOD,7172003011.0,2012.0,5415.0,7172-003-011,5207 FIDLER AVE  LAKEWOOD CA  90712,SFR,0100,Residential,Single Family Residence, , ,1.0,1950.0,1953.0,1657.0,2.0,2.0,1.0,19920519.0,205402.0,1992.0,81787.0,1992,287189.0,0.0,0.0,0.0,0.0,0.0,0.0,Y,287189.0,0.0,287189.0, ,10,10102.0,TRACT NO 16215 LOT  624,5207.0, , ,FIDLER AVE, ,LAKEWOOD CA,90712.0,20127172003011.0,33.85235697,-118.13191656,"(33.85235697, -118.13191656)"
90712-2707,LAKEWOOD,7172003011.0,2007.0,5415.0,7172-003-011,5207 FIDLER AVE  LAKEWOOD CA  90712,SFR,0100,Residential,Single Family Residence, , ,1.0,1950.0,1953.0,1657.0,2.0,2.0,1.0,19920519.0,192566.0,1992.0,76678.0,1992,269244.0,0.0,0.0,0.0,0.0,0.0,0.0,Y,269244.0,0.0,269244.0, ,10,10102.0,TRACT NO 16215 LOT  624,5207.0, , ,FIDLER AVE, ,LAKEWOOD CA,90712.0,20077172003011.0,33.85235697,-118.13191656,"(33.85235697, -118.13191656)"
90712-2707,LAKEWOOD,7172003011.0,2013.0,5415.0,7172-003-011,5207 FIDLER AVE  LAKEWOOD CA  90712,SFR,0100,Residential,Single Family Residence, , ,1.0,1950.0,1953.0,1657.0,2.0,2.0,1.0,19920519.0,209510.0,1992.0,83422.0,1992,292932.0,0.0,0.0,0.0,0.0,0.0,0.0,Y,292932.0,0.0,292932.0, ,10,10102.0,TRACT NO 16215 LOT  624,5207.0, , ,FIDLER AVE, ,LAKEWOOD CA,90712.0,20137172003011.0,33.85235697,-118.13191656,"(33.85235697, -118.13191656)"
90712-2707,LAKEWOOD,7172003011.0,2014.0,5415.0,7172-003-011,5207 FIDLER AVE  LAKEWOOD CA  90712,SFR,0100,Residential,Single Family Residence, , ,1.0,1950.0,1953.0,1657.0,2.0,2.0,1.0,19920519.0,210461.0,1992.0,83800.0,1992,294261.0,0.0,0.0,0.0,0.0,0.0,0.0,Y,294261.0,0.0,294261.0, ,10,10102.0,TRACT NO 16215 LOT  624,5207.0, , ,FIDLER AVE, ,LAKEWOOD CA,90712.0,20147172003011.0,33.85235697,-118.13191656,"(33.85235697, -118.13191656)"
90712-2707,LAKEWOOD,7172003011.0,2006.0,5415.0,7172-003-011,5207 FIDLER AVE  LAKEWOOD CA  90712,SFR,0100,Residential,Single Family Residence, , ,1.0,1950.0,1953.0,1657.0,2.0,2.0,1.0,19920519.0,188791.0,1992.0,75175.0,1992,263966.0,0.0,0.0,0.0,0.0,0.0,0.0,Y,263966.0,0.0,263966.0, ,10,10102.0,TRACT NO 16215 LOT  624,5207.0, , ,FIDLER AVE, ,LAKEWOOD CA,90712.0,20067172003011.0,33.85235697,-118.13191656,"(33.85235697, -118.13191656)"
90712-2707,LAKEWOOD,7172003011.0,2015.0,5415.0,7172-003-011,5207 FIDLER AVE  LAKEWOOD CA  90712,SFR,0100,Residential,Single Family Residence, , ,1.0,1950.0,1953.0,1657.0,2.0,2.0,1.0,19920519.0,214666.0,1992.0,85474.0,1992,300140.0,0.0,0.0,0.0,0.0,0.0,0.0,Y,300140.0,0.0,300140.0, ,10,10102.0,TRACT NO 16215 LOT  624,5207.0, , ,FIDLER AVE, ,LAKEWOOD CA,90712.0,20157172003011.0,33.85235697,-118.13191656,"(33.85235697, -118.13191656)"
90712-2707,LAKEWOOD,7172003011.0,2010.0,5415.0,7172-003-011,5207 FIDLER AVE  LAKEWOOD CA  90712,SFR,0100,Residential,Single Family Residence, , ,1.0,1950.0,1953.0,1657.0,2.0,2.0,1.0,19920519.0,199870.0,1992.0,79585.0,1992,279455.0,0.0,0.0,0.0,0.0,0.0,0.0,Y,279455.0,0.0,279455.0, ,10,10102.0,TRACT NO 16215 LOT  624,5207.0, , ,FIDLER AVE, ,LAKEWOOD CA,90712.0,20107172003011.0,33.85235697,-118.13191656,"(33.85235697, -118.13191656)"
90712-2707,LAKEWOOD,7172003011.0,2009.0,5415.0,7172-003-011,5207 FIDLER AVE  LAKEWOOD CA  90712,SFR,0100,Residential,Single Family Residence, , ,1.0,1950.0,1953.0,1657.0,2.0,2.0,1.0,19920519.0,200345.0,1992.0,79775.0,1992,280120.0,0.0,0.0,0.0,0.0,0.0,0.0,Y,280120.0,0.0,280120.0, ,10,10102.0,TRACT NO 16215 LOT  624,5207.0, , ,FIDLER AVE, ,LAKEWOOD CA,90712.0,20097172003011.0,33.85235697,-118.13191656,"(33.85235697, -118.13191656)"
90712-2707,LAKEWOOD,7172003011.0,2011.0,5415.0,7172-003-011,5207 FIDLER AVE  LAKEWOOD CA  90712,SFR,0100,Residential,Single Family Residence, , ,1.0,1950.0,1953.0,1657.0,2.0,2.0,1.0,19920519.0,201375.0,1992.0,80184.0,1992,281559.0,0.0,0.0,0.0,0.0,0.0,0.0,Y,281559.0,0.0,281559.0, ,10,10102.0,TRACT NO 16215 LOT  624,5207.0, , ,FIDLER AVE, ,LAKEWOOD CA,90712.0,20117172003011.0,33.85235697,-118.13191656,"(33.85235697, -118.13191656)"
90712-2707,LAKEWOOD,7172003011.0,2008.0,5415.0,7172-003-011,5207 FIDLER AVE  LAKEWOOD CA  90712,SFR,0100,Residential,Single Family Residence, , ,1.0,1950.0,1953.0,1657.0,2.0,2.0,1.0,19920519.0,196417.0,1992.0,78211.0,1992,274628.0,0.0,0.0,0.0,0.0,0.0,0.0,Y,274628.0,0.0,274628.0, ,10,10102.0,TRACT NO 16215 LOT  624,5207.0, , ,FIDLER AVE, ,LAKEWOOD CA,90712.0,20087172003011.0,33.85235697,-118.13191656,"(33.85235697, -118.13191656)"
90712-2717,LAKEWOOD,7172017002.0,2006.0,5415.0,7172-017-002,4909 AUTRY AVE  LAKEWOOD CA  90712,SFR,0100,Residential,Single Family Residence, , ,1.0,1950.0,1952.0,1111.0,3.0,2.0,1.0,20000831.0,176421.0,2001.0,60644.0,2001,237065.0,7000.0,0.0,0.0,0.0,0.0,0.0,Y,237065.0,7000.0,230065.0, ,10,10102.0,TRACT NO 16215 LOT  159,4909.0, , ,AUTRY AVE, ,LAKEWOOD CA,90712.0,20067172017002.0,33.84755012,-118.12748321,"(33.84755012, -118.12748321)"
90712-2717,LAKEWOOD,7172017002.0,2015.0,5415.0,7172-017-002,4909 AUTRY AVE  LAKEWOOD CA  90712,SFR,0100,Residential,Single Family Residence, , ,1.0,1950.0,1952.0,1111.0,3.0,2.0,1.0,20110713.0,292628.0,2012.0,73157.0,2012,365785.0,0.0,0.0,0.0,0.0,0.0,0.0,Y,365785.0,0.0,365785.0, ,10,10102.0,TRACT NO 16215 LOT  159,4909.0, , ,AUTRY AVE, ,LAKEWOOD CA,90712.0,20157172017002.0,33.84755012,-118.12748321,"(33.84755012, -118.12748321)"
90712-2717,LAKEWOOD,7172017002.0,2011.0,5415.0,7172-017-002,4909 AUTRY AVE  LAKEWOOD CA  90712,SFR,0100,Residential,Single Family Residence, , ,1.0,1950.0,1952.0,1111.0,3.0,2.0,1.0,20000831.0,188179.0,2001.0,64684.0,2001,252863.0,7000.0,0.0,0.0,0.0,0.0,0.0,Y,252863.0,7000.0,245863.0, ,10,10102.0,TRACT NO 16215 LOT  159,4909.0, , ,AUTRY AVE, ,LAKEWOOD CA,90712.0,20117172017002.0,33.84755012,-118.12748321,"(33.84755012, -118.12748321)"
90712-2717,LAKEWOOD,7172017002.0,2007.0,5415.0,7172-017-002,4909 AUTRY AVE  LAKEWOOD CA  90712,SFR,0100,Residential,Single Family Residence, , ,1.0,1950.0,1952.0,1111.0,3.0,2.0,1.0,20000831.0,179949.0,2001.0,61856.0,2001,241805.0,7000.0,0.0,0.0,0.0,0.0,0.0,Y,241805.0,7000.0,234805.0, ,10,10102.0,TRACT NO 16215 LOT  159,4909.0, , ,AUTRY AVE, ,LAKEWOOD CA,90712.0,20077172017002.0,33.84755012,-118.12748321,"(33.84755012, -118.12748321)"
90712-2717,LAKEWOOD,7172017002.0,2014.0,5415.0,7172-017-002,4909 AUTRY AVE  LAKEWOOD CA  90712,SFR,0100,Residential,Single Family Residence, , ,1.0,1950.0,1952.0,1111.0,3.0,2.0,1.0,20110713.0,286896.0,2012.0,71724.0,2012,358620.0,0.0,0.0,0.0,0.0,0.0,0.0,Y,358620.0,0.0,358620.0, ,10,10102.0,TRACT NO 16215 LOT  159,4909.0, , ,AUTRY AVE, ,LAKEWOOD CA,90712.0,20147172017002.0,33.84755012,-118.12748321,"(33.84755012, -118.12748321)"
90712-2717,LAKEWOOD,7172017002.0,2008.0,5415.0,7172-017-002,4909 AUTRY AVE  LAKEWOOD CA  90712,SFR,0100,Residential,Single Family Residence, , ,1.0,1950.0,1952.0,1111.0,3.0,2.0,1.0,20000831.0,183547.0,2001.0,63093.0,2001,246640.0,7000.0,0.0,0.0,0.0,0.0,0.0,Y,246640.0,7000.0,239640.0, ,10,10102.0,TRACT NO 16215 LOT  159,4909.0, , ,AUTRY AVE, ,LAKEWOOD CA,90712.0,20087172017002.0,33.84755012,-118.12748321,"(33.84755012, -118.12748321)"
90712-2717,LAKEWOOD,7172017002.0,2013.0,5415.0,7172-017-002,4909 AUTRY AVE  LAKEWOOD CA  90712,SFR,0100,Residential,Single Family Residence, , ,1.0,1950.0,1952.0,1111.0,3.0,2.0,1.0,20110713.0,285600.0,2012.0,71400.0,2012,357000.0,0.0,0.0,0.0,0.0,0.0,0.0,Y,357000.0,0.0,357000.0, ,10,10102.0,TRACT NO 16215 LOT  159,4909.0, , ,AUTRY AVE, ,LAKEWOOD CA,90712.0,20137172017002.0,33.84755012,-118.12748321,"(33.84755012, -118.12748321)"
90712-2717,LAKEWOOD,7172017002.0,2009.0,5415.0,7172-017-002,4909 AUTRY AVE  LAKEWOOD CA  90712,SFR,0100,Residential,Single Family Residence, , ,1.0,1950.0,1952.0,1111.0,3.0,2.0,1.0,20000831.0,187217.0,2001.0,64354.0,2001,251571.0,7000.0,0.0,0.0,0.0,0.0,0.0,Y,251571.0,7000.0,244571.0, ,10,10102.0,TRACT NO 16215 LOT  159,4909.0, , ,AUTRY AVE, ,LAKEWOOD CA,90712.0,20097172017002.0,33.84755012,-118.12748321,"(33.84755012, -118.12748321)"
90712-2717,LAKEWOOD,7172017002.0,2010.0,5415.0,7172-017-002,4909 AUTRY AVE  LAKEWOOD CA  90712,SFR,0100,Residential,Single Family Residence, , ,1.0,1950.0,1952.0,1111.0,3.0,2.0,1.0,20000831.0,186773.0,2001.0,64201.0,2001,250974.0,7000.0,0.0,0.0,0.0,0.0,0.0,Y,250974.0,7000.0,243974.0, ,10,10102.0,TRACT NO 16215 LOT  159,4909.0, , ,AUTRY AVE, ,LAKEWOOD CA,90712.0,20107172017002.0,33.84755012,-118.12748321,"(33.84755012, -118.12748321)"
90712-2717,LAKEWOOD,7172017002.0,2012.0,5415.0,7172-017-002,4909 AUTRY AVE  LAKEWOOD CA  90712,SFR,0100,Residential,Single Family Residence, , ,1.0,1950.0,1952.0,1111.0,3.0,2.0,1.0,20110713.0,280000.0,2012.0,70000.0,2012,350000.0,0.0,0.0,0.0,0.0,0.0,0.0,Y,350000.0,0.0,350000.0, ,10,10102.0,TRACT NO 16215 LOT  159,4909.0, , ,AUTRY AVE, ,LAKEWOOD CA,90712.0,20127172017002.0,33.84755012,-118.12748321,"(33.84755012, -118.12748321)"
90713-1856,LAKEWOOD,7173014001.0,2012.0,5415.0,7173-014-001,5814 YEARLING ST  LAKEWOOD CA  90713,SFR,0100,Residential,Single Family Residence, , ,1.0,1950.0,1955.0,1197.0,3.0,2.0,1.0,20020614.0,179274.0,1989.0,135072.0,1989,314346.0,7000.0,0.0,0.0,0.0,0.0,0.0,Y,314346.0,7000.0,307346.0, ,10,10102.0,TRACT NO 16216 LOT  242,5814.0, , ,YEARLING ST, ,LAKEWOOD CA,90713.0,20127173014001.0,33.8498255,-118.11871898,"(33.8498255, -118.11871898)"
90713-1844,LAKEWOOD,7173015020.0,2009.0,5415.0,7173-015-020,5827 ECKLESON ST  LAKEWOOD CA  90713,SFR,0100,Residential,Single Family Residence, , ,1.0,1950.0,1957.0,1639.0,4.0,2.0,1.0,20080619.0,161953.0,2006.0,90957.0,2006,252910.0,7000.0,0.0,0.0,0.0,0.0,0.0,Y,252910.0,7000.0,245910.0, ,10,10102.0,TRACT NO 16216 LOT  312,5827.0, , ,ECKLESON ST, ,LAKEWOOD CA,90713.0,20097173015020.0,33.84883444,-118.1181247,"(33.84883444, -118.1181247)"
90713-1844,LAKEWOOD,7173015020.0,2014.0,5415.0,7173-015-020,5827 ECKLESON ST  LAKEWOOD CA  90713,SFR,0100,Residential,Single Family Residence, , ,1.0,1950.0,1957.0,1639.0,4.0,2.0,1.0,20111130.0,170128.0,2006.0,95548.0,2006,265676.0,7000.0,0.0,0.0,0.0,0.0,0.0,Y,265676.0,7000.0,258676.0, ,10,10102.0,TRACT NO 16216 LOT  312,5827.0, , ,ECKLESON ST, ,LAKEWOOD CA,90713.0,20147173015020.0,33.84883444,-118.1181247,"(33.84883444, -118.1181247)"
90713-1844,LAKEWOOD,7173015020.0,2008.0,5415.0,7173-015-020,5827 ECKLESON ST  LAKEWOOD CA  90713,SFR,0100,Residential,Single Family Residence, , ,1.0,1950.0,1957.0,1639.0,4.0,2.0,1.0,20051114.0,158778.0,2006.0,89174.0,2006,247952.0,7000.0,0.0,0.0,0.0,0.0,0.0,Y,247952.0,7000.0,240952.0, ,10,10102.0,TRACT NO 16216 LOT  312,5827.0, , ,ECKLESON ST, ,LAKEWOOD CA,90713.0,20087173015020.0,33.84883444,-118.1181247,"(33.84883444, -118.1181247)"
90713-1856,LAKEWOOD,7173014001.0,2006.0,5415.0,7173-014-001,5814 YEARLING ST  LAKEWOOD CA  90713,SFR,0100,Residential,Single Family Residence, , ,1.0,1950.0,1955.0,1197.0,3.0,2.0,1.0,20020614.0,164777.0,1989.0,124150.0,1989,288927.0,7000.0,0.0,0.0,0.0,0.0,0.0,Y,288927.0,7000.0,281927.0, ,10,10102.0,TRACT NO 16216 LOT  242,5814.0, , ,YEARLING ST, ,LAKEWOOD CA,90713.0,20067173014001.0,33.8498255,-118.11871898,"(33.8498255, -118.11871898)"
